"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-1.08999137514682,1.17710735327793,-12.3840244955359,3.39147143773417e-31,2.30048862576411e-29,60.0110070600305,"ENSG00000231013"
-1.94067611581383,5.26484996998772,-12.3610934521378,4.23751299620682e-31,2.86432172177169e-29,59.7905449876105,"ENSG00000275395"
-1.20368741566126,5.33120029261685,-12.3350288154772,5.45672462866532e-31,3.66282640699159e-29,59.5402332178688,"ENSG00000137462"
-1.55590560999112,5.5664976140336,-12.3339525963717,5.51396308290537e-31,3.67572187305954e-29,59.5299040983141,"ENSG00000163629"
-2.11844517649155,6.11498051395317,-12.3090985178988,7.01553161876335e-31,4.61306997462358e-29,59.2915050937071,"ENSG00000110195"
-1.50200535686777,3.9635469456227,-12.2989066396105,7.74317081589749e-31,5.04010027652964e-29,59.1938231200909,"ENSG00000241644"
-1.20311720546892,6.69425422000118,-12.2895967395215,8.47327199494088e-31,5.47843793331763e-29,59.1046340050019,"ENSG00000111341"
-1.24683271816288,5.7010073869255,-12.1985221472301,2.04173515184457e-30,1.28569459138304e-28,58.2341467650836,"ENSG00000204219"
-1.37611884727362,3.72670885869566,-12.1769941377086,2.51219141423551e-30,1.56663498129035e-28,58.0289187977989,"ENSG00000171368"
-1.59359774875853,4.31187112164886,-12.153116001534,3.16106172953846e-30,1.95238483563698e-28,57.8015280524161,"ENSG00000112782"
-1.57508631692726,3.71574765736813,-12.1509180718161,3.22858354039446e-30,1.97515750009195e-28,57.780610010288,"ENSG00000169031"
-1.11992586368508,7.21044688046544,-12.1498886170592,3.26070076212139e-30,1.98851315878015e-28,57.7708132691733,"ENSG00000149573"
-1.88343268949668,6.38101804418634,-12.1463209717677,3.37448541844417e-30,2.05143245626927e-28,57.736865659204,"ENSG00000196260"
-2.23226774305508,5.79031415648133,-12.136910423396,3.69393553819594e-30,2.23859441455812e-28,57.6473477057447,"ENSG00000256612"
-1.06656151401144,2.45382341730935,-12.1237756159887,4.18368061674381e-30,2.52677546641039e-28,57.5241008595996,"ENSG00000177098"
-2.5869465630083,4.6160563326924,-12.0998629485686,5.27190971022303e-30,3.16511051298235e-28,57.2953184403175,"ENSG00000204544"
-1.50927546037899,5.9769861767497,-12.0965854515976,5.44028354895565e-30,3.2536676022628e-28,57.2642049464605,"ENSG00000049540"
-1.15412999434865,3.79049737133637,-12.0818864721701,6.26368265681477e-30,3.70304321472609e-28,57.1247259939573,"ENSG00000077943"
-1.23632391272358,2.80897146578542,-12.0612478901892,7.63309030041331e-30,4.47160308144212e-28,56.9290503125097,"ENSG00000109339"
-2.34833379256821,5.06270192366395,-12.0526892056019,8.28487795242246e-30,4.82419459566961e-28,56.8479612934105,"ENSG00000171885"
-1.41715713143715,2.06360029028468,-12.0420669455579,9.1713239092873e-30,5.32432533977003e-28,56.7473670539345,"ENSG00000179639"
-1.10777680593659,2.50269191230692,-12.0084350484369,1.26363244887364e-29,7.24882566813804e-28,56.4301880641214,"ENSG00000240038"
-1.61392204722461,4.38781350557118,-11.9496317471865,2.21645668357921e-29,1.25288130429688e-27,55.8741577225949,"ENSG00000146477"
-1.27289816217981,4.64409341224421,-11.9340336053454,2.57135438391837e-29,1.44925431340845e-27,55.7271913431696,"ENSG00000011201"
-1.71237920203218,5.21907698395836,-11.9240542103822,2.82751102679952e-29,1.58438965710401e-27,55.63322364367,"ENSG00000232629"
-1.68036137181504,4.53806442080239,-11.9021634763991,3.48180319095398e-29,1.92314912250064e-27,55.4272572255208,"ENSG00000103044"
-1.05956252454086,6.86930949266585,-11.8585232266664,5.26910418046216e-29,2.84531625744957e-27,55.0173131498571,"ENSG00000204257"
-1.16844349531208,1.82220367705854,-11.8375088518439,6.43051009246927e-29,3.453183919656e-27,54.8202248684473,"ENSG00000243710"
-1.77884088412561,5.84765478726636,-11.8356564996667,6.54435211175512e-29,3.49990586353533e-27,54.8028619870085,"ENSG00000203697"
-1.43189940708369,3.15411952433713,-11.8355054383897,6.55372399441231e-29,3.49990586353533e-27,54.8014460960687,"ENSG00000197415"
-1.14232449862588,6.36677299302411,-11.777937555801,1.12979041826761e-28,5.95125568554483e-27,54.262639538323,"ENSG00000131018"
-1.29780312595787,5.60428021629001,-11.7726821890779,1.18728675486352e-28,6.23712705027759e-27,54.2135291285785,"ENSG00000164626"
-1.87971097251643,5.62922766163792,-11.7631557322734,1.29903047377183e-28,6.80565233576071e-27,54.1245392142607,"ENSG00000188906"
-1.35623288731853,3.48790460711295,-11.7626283130939,1.30551393765639e-28,6.82113390345223e-27,54.1196136544629,"ENSG00000173947"
-1.27525077815218,4.21709167467275,-11.7141140252199,2.06265544302042e-28,1.07191545764707e-26,53.6670992094001,"ENSG00000066468"
-2.26836073811109,2.63468793876853,-11.6908017682609,2.56868200644476e-28,1.31369736901032e-26,53.4500505350962,"ENSG00000166105"
-1.28493113449504,5.6208912140994,-11.690048969854,2.58693427006528e-28,1.31954124825599e-26,53.4430458971888,"ENSG00000167183"
-1.85998079216871,5.49041736750151,-11.6739415087415,3.00991246321195e-28,1.52368730365234e-26,53.2932336081448,"ENSG00000112936"
-1.07237090505469,6.21366643320324,-11.6739100102147,3.01080358987789e-28,1.52368730365234e-26,53.2929407672526,"ENSG00000179178"
-1.13237810299057,6.37379437712615,-11.6542349389297,3.62197762582555e-28,1.81870315486908e-26,53.1101143483986,"ENSG00000170571"
-1.82062839256936,4.92776224492625,-11.5693272045355,8.02435467147575e-28,3.97761088484537e-26,52.3232470901839,"ENSG00000179593"
-1.26686705407838,2.73920300747194,-11.5311850141324,1.14581496813568e-27,5.62205455939058e-26,51.9708983383215,"ENSG00000141338"
-1.38966292324829,3.03820288110116,-11.5209033602553,1.26114512460853e-27,6.17226773390687e-26,51.8760390364413,"ENSG00000163071"
-1.40659729771226,5.76169773418217,-11.5033235073051,1.4856938847485e-27,7.25288741918133e-26,51.713964628847,"ENSG00000166482"
-1.09058443232982,5.55713801309009,-11.4834515236152,1.78769987066952e-27,8.68337032657867e-26,51.5309389207763,"ENSG00000125170"
-1.44805158439169,2.66653353745385,-11.4618194496049,2.18617043473317e-27,1.04611502089756e-25,51.3319207684701,"ENSG00000206077"
-1.05831122715632,4.28043142437242,-11.4519795670562,2.39553641208281e-27,1.14346938070086e-25,51.2414679474339,"ENSG00000049246"
-1.93418953176918,5.81253345901708,-11.4428231311948,2.60822186683248e-27,1.24192475688684e-25,51.1573401646887,"ENSG00000259803"
-1.00236940856573,1.26965208068247,-11.4368708020114,2.75644812644146e-27,1.30927899706059e-25,51.1026731557881,"ENSG00000183346"
-1.3529926744917,3.12983435364236,-11.4353165728439,2.79651198518522e-27,1.32505317886276e-25,51.088401755571,"ENSG00000179023"
-1.28773500525882,4.54387268236447,-11.4235540931316,3.1190913482794e-27,1.47068960841311e-25,50.9804334723853,"ENSG00000081052"
-1.12919581215398,3.54476837942049,-11.4095951136267,3.55021915624782e-27,1.65779798861311e-25,50.8523914272062,"ENSG00000168032"
-1.85700229621383,3.02036035806914,-11.4033619650921,3.76139667327087e-27,1.74796443479982e-25,50.7952472846292,"ENSG00000134020"
-1.26739310454932,2.71793859807991,-11.3565622176167,5.80092351978599e-27,2.64489277086091e-25,50.3668082353608,"ENSG00000165072"
-1.0150093055767,1.42689402109572,-11.3338588542301,7.1542736747242e-27,3.23902619858942e-25,50.1594390790851,"ENSG00000153930"
-1.24719389707166,3.71308610910399,-11.3145797664152,8.5483500855776e-27,3.84317915940433e-25,49.9833911219243,"ENSG00000172296"
-1.13305423718312,2.33632770053962,-11.3072035584452,9.14935947331463e-27,4.10383798928349e-25,49.9161997950255,"ENSG00000092529"
-2.16900498556119,5.99876197837403,-11.2924409955586,1.04839760210095e-26,4.66995908843677e-25,49.7815546007167,"ENSG00000133661"
-1.53057705503574,2.99227011340806,-11.2674622849115,1.31951647834577e-26,5.79747558167737e-25,49.5541198686997,"ENSG00000058335"
-1.77995723337151,3.80795181495984,-11.215040802285,2.13604204301593e-26,9.21740285169285e-25,49.0778296222567,"ENSG00000271447"
-1.48600835602493,3.26063507703879,-11.212548385433,2.18545242341333e-26,9.40961386401479e-25,49.0552184074282,"ENSG00000141579"
-1.23510622917295,4.19304746109004,-11.1832580905408,2.85860364241245e-26,1.20924563709229e-24,48.7897311491679,"ENSG00000276600"
-1.03418213434886,6.73799103468529,-11.1134974675893,5.40927283004013e-26,2.23444577671658e-24,48.1591678642849,"ENSG00000071967"
-1.56490919708907,2.31989966228356,-11.1117241271065,5.49751094979249e-26,2.26605291431532e-24,48.143170919825,"ENSG00000158477"
-1.02472912861545,5.40127682855691,-11.0712310648646,7.95134093537215e-26,3.25668057124183e-24,47.7783276862416,"ENSG00000154930"
-1.07685684986858,2.10474792025611,-11.054658396566,9.24420558927707e-26,3.75439038764505e-24,47.6293886283156,"ENSG00000149534"
-1.3867404836164,4.11975929625317,-11.0006432104552,1.50997107569792e-25,6.04363578372508e-24,47.1443384759667,"ENSG00000169291"
-1.14010979651445,3.47016168359826,-10.9736786133816,1.92785955223528e-25,7.62155027889825e-24,46.9028318530951,"ENSG00000228594"
-1.67463723281606,3.62983853763732,-10.8708623149329,4.8772267745086e-25,1.85238797651867e-23,45.9854291903649,"ENSG00000019102"
-1.12711159319034,4.41016719592891,-10.8665638108699,5.06960192901995e-25,1.92167734297674e-23,45.9471949622251,"ENSG00000116106"
-1.42168463498138,5.2734457914328,-10.8625437083931,5.25633282972106e-25,1.98467629422202e-23,45.9114458212807,"ENSG00000131781"
-1.61304094998432,4.30545315213549,-10.8543573526669,5.65797064715523e-25,2.12388133108359e-23,45.8386740952138,"ENSG00000068078"
-2.73732038740776,5.79717592724743,-10.8478066183038,6.00120569672694e-25,2.24835869242491e-23,45.7804673941001,"ENSG00000164265"
-1.03404288574987,3.05190739142657,-10.8293503746409,7.08258594858533e-25,2.64325389108208e-23,45.6167247856659,"ENSG00000121075"
-1.1705987494709,4.3185011258711,-10.8259876403764,7.30066464408683e-25,2.71416247883628e-23,45.5867571081848,"ENSG00000144063"
-1.06034416109028,1.42604455174632,-10.8120856267389,8.27071597331566e-25,3.05132597702554e-23,45.4634649186469,"ENSG00000258844"
-1.13421117799901,3.3906533009768,-10.7986421836281,9.33028580412412e-25,3.43567781267291e-23,45.344336633333,"ENSG00000166432"
-1.75358189062411,3.21086064745861,-10.7981292612085,9.37327960228999e-25,3.44494755268955e-23,45.3397932922035,"ENSG00000133710"
-1.62111111863747,7.40050624012237,-10.7917563288803,9.92416902076833e-25,3.63359915737677e-23,45.2833550198078,"ENSG00000240583"
-1.06577283432127,1.28090923907964,-10.7825826467706,1.07740915622147e-24,3.92990071850442e-23,45.2021512165438,"ENSG00000270765"
-1.01045743818184,5.81246889333377,-10.7607949986008,1.30936268718458e-24,4.73132700348641e-23,45.0094695288007,"ENSG00000149212"
-2.37447404951219,6.49727908636566,-10.7449199345624,1.50900754274386e-24,5.42232970563648e-23,44.8692351677746,"ENSG00000196188"
-1.56905006652802,6.56403758225272,-10.7221132712531,1.84983280172717e-24,6.58581357697784e-23,44.6680043394867,"ENSG00000136352"
-1.14904740648739,2.88018269107187,-10.7079325205524,2.09924633860843e-24,7.43271615713886e-23,44.5430226419843,"ENSG00000137727"
-1.32808365342837,1.87039312012192,-10.6650723447835,3.07472982042596e-24,1.07100318717972e-22,44.1659292455803,"ENSG00000188817"
-1.4195920093617,5.90313490168242,-10.628628106318,4.25017217379682e-24,1.45808571427932e-22,43.8460602980504,"ENSG00000006210"
-1.17838712852949,2.0151958801106,-10.6183255182582,4.65690699461159e-24,1.573904301046e-22,43.7557647762858,"ENSG00000151892"
-1.37956854178855,3.63393118322693,-10.5828686240595,6.37541049062096e-24,2.1286603731379e-22,43.4454463188873,"ENSG00000025423"
-1.18544625660629,1.97268521737406,-10.551943968201,8.37998813568891e-24,2.77400566162907e-22,43.1753501461575,"ENSG00000215217"
-1.00580302489128,3.66898106426224,-10.5495619281003,8.55815201099913e-24,2.82814007994248e-22,43.1545669418044,"ENSG00000131401"
